Card,Bank,Type,AnnualFee,Category,Desription,RewardRate,HowToUse,SpecialProvisions,Apply,Welcome Bonus,Key Benefits,NewUpdate,rotating,Updated time,,,,,,Credit Card Update Schedule Template,,,
Delta SkyMiles® Gold,American Express,Miles,150,Travel – Flight,Delta Airlines,2,Redeem for Delta flights or partners,"$0 introductory annual fee for the first year, then $150. 1 mile per dollar on purchases excluding Delta purchase, dining, and grocery.",https://www.americanexpress.com/us/credit-cards/card/delta-skymiles-gold-american-express-card/?eep=28810&intlink=US-Axp-Shop-Consumer-VAC-DeltaGold-Prospect-Cardname-BrowseAll&gclsrc=aw.ds&utm_cmpid=23445052226&utm_adid=791232300622&utm_mcid=&utm_source=google&utm_medium=cpc&utm_term=amex+gold&utm_campaign=US_AL_CMS_GGL_BRS_CPS_PC_GOLD_DVBB&utm_adgroup=GGL_BRS_CPS_PC_GOLD_TERMS&utm_adgid=194259103431&utm_tgtid=kwd-12301231&utm_mt=b&utm_dvc=c&utm_ntwk=g&utm_adpos=&utm_plcmnt=&utm_locphysid=9031937&utm_locintid=&utm_feeditemid=&utm_devicemdl=&utm_plcmnttgt=&utm_programname=brandcps&utm_cmp=GOLD&utm_sl=&utm_acid=5407860559&gad_source=1&gad_campaignid=23445052226&gbraid=0AAAAADfV22v_8AccjSBywEibxfXdkUjE-&gclid=Cj0KCQiA1JLLBhCDARIsAAVfy7iUdXy1Yo8_ZyB7K-53LB1xGQcYZFIXJWCgzcniFi4TgsO1mB_hK8IaApDiEALw_wcB,"70,000 Bonus Miles after spending $3,000 in purchases within the first 6 months and an additional 20,000 bonus miles after spending additional $2,000 in purchases within first 6 months. Offer ends 04/01/26. ","First checked bag free; 15% savings on award travel booked with miles on Delta flights; Priority boarding (Zone 5); No foreign transaction fees; Earn up to $200 in Delta Flight Credits after spending $10,000; Earn up to $100 annually; ravel and purchase protections. Terms apply. ",Last updated on 3/29/2026 - Showing update status when shopping cart image is tapped.,,02/08/26,,,,,,Card Type,Update Frequency,Trigger Events,Notes / Action
Delta SkyMiles® Platinum,American Express,Miles,350,Travel – Flight,Delta Airlines,3,Redeem for Delta/partners. ,"Made directly with Delta. 1X mile per $1 on purchases excluding eligible Delta purchases, hotel, dining, and grocery. ",https://www.americanexpress.com/us/credit-cards/card/delta-skymiles-platinum-american-express-card/?eep=28810&intlink=US-Axp-Shop-Consumer-VAC-DeltaPlatinum-Prospect-Cardname-BrowseAll&gclsrc=aw.ds&utm_cmpid=23445052226&utm_adid=791232300622&utm_mcid=&utm_source=google&utm_medium=cpc&utm_term=amex+gold&utm_campaign=US_AL_CMS_GGL_BRS_CPS_PC_GOLD_DVBB&utm_adgroup=GGL_BRS_CPS_PC_GOLD_TERMS&utm_adgid=194259103431&utm_tgtid=kwd-12301231&utm_mt=b&utm_dvc=c&utm_ntwk=g&utm_adpos=&utm_plcmnt=&utm_locphysid=9031937&utm_locintid=&utm_feeditemid=&utm_devicemdl=&utm_plcmnttgt=&utm_programname=brandcps&utm_cmp=GOLD&utm_sl=&utm_acid=5407860559&gad_source=1&gad_campaignid=23445052226&gbraid=0AAAAADfV22v_8AccjSBywEibxfXdkUjE-&gclid=Cj0KCQiA1JLLBhCDARIsAAVfy7iUdXy1Yo8_ZyB7K-53LB1xGQcYZFIXJWCgzcniFi4TgsO1mB_hK8IaApDiEALw_wcB,"80,000 Bonus Miles after spending $4,000 in purchases within the first 6 months and an additional 20,000 bonus miles after spending additional $2,000 in purchases within first 6 months. Offer ends 04/01/26. ","Companion Certificate; First Checked Bag Free; Zone 5 priority boarding; 15% Discount on Award Travel; Helps toward Delta Medallion status with $2,500 headstart and boost earn through spending; 20% Back on In‑Flight Purchases; Get up to $390 per year in potential credits. ",3/28/2026 update - Better Credit Card Name layout and cleaner UI with new icons and colors.,,,,,,,,"Bonus-heavy / promotional cards (limited-time offers, sign-up bonuses)",Every 1–2 weeks,"Any change in bonus, APR, annual fee",Check issuer websites or newsletters; update app immediately if changes occur.
Delta SkyMiles® Blue American Express Card,American Express,Miles,0,Travel – Flight,Delta Airlines,2,Redeem for Delta flights or partners,Made directly with Delta. 1X mile per $1 on purchases excluding eligible Delta purchases and dining.,https://www.americanexpress.com/us/credit-cards/card/delta-skymiles-blue-american-express-card/?eep=28810&intlink=US-Axp-Shop-Consumer-PDP-HiltonAspire-Prospect-DeltaBlue-FilmStrip&gclsrc=aw.ds&utm_cmpid=23445052226&utm_adid=791232300622&utm_mcid=&utm_source=google&utm_medium=cpc&utm_term=amex+gold&utm_campaign=US_AL_CMS_GGL_BRS_CPS_PC_GOLD_DVBB&utm_adgroup=GGL_BRS_CPS_PC_GOLD_TERMS&utm_adgid=194259103431&utm_tgtid=kwd-12301231&utm_mt=b&utm_dvc=c&utm_ntwk=g&utm_adpos=&utm_plcmnt=&utm_locphysid=9031937&utm_locintid=&utm_feeditemid=&utm_devicemdl=&utm_plcmnttgt=&utm_programname=brandcps&utm_cmp=GOLD&utm_sl=&utm_acid=5407860559&gad_source=1&gad_campaignid=23445052226&gbraid=0AAAAADfV22v_8AccjSBywEibxfXdkUjE-&gclid=Cj0KCQiA1JLLBhCDARIsAAVfy7iUdXy1Yo8_ZyB7K-53LB1xGQcYZFIXJWCgzcniFi4TgsO1mB_hK8IaApDiEALw_wcB,"10,000 bonus SkyMiles after spending $1,000 in purchases in the first 6 months.  ",Pay with Miles; 20% back In‑Flight purchases; No Foreign Transaction Fees; Amex Special Ticket Access.,,,,,,,,,"Standard rewards cards (cash back, flat rewards)",Monthly,Minor reward tweaks or fee changes,"Review points earning rates, caps, or category changes."
Air France KLM World Elite Mastercard®,Bank of America,Miles,89,Travel – Flight,"Air France, KLM Royal Dutch Airlines and SkyTeam member airlines ",3,"Redeem Miles toward flights with Air France, KLM Royal Dutch Airlines or any SkyTeam member airline.  ",1.5 Miles per $1 spent on all other purchases.  ,https://www.bankofamerica.com/credit-cards/products/air-france-credit-card/,"50,000 bonus Flying Blue miles plus 100 Experience Points after spending $2,000 within the first 90 days. ","5,000 bonus miles each year after spending at least $50; Experience Points (XP) to help earn elite status in Flying Blue; No foreign transaction fees; Standard travel protections. ",,,,,,,,,"Premium / travel cards (e.g., airline, hotel co-branded)",Monthly,"Changes to perks, lounge access, or elite status benefits",Highlight major benefit changes to users; minor adjustments can wait for monthly update.
Emirates Skywards Premium World Elite Mastercard,Barclays,Miles,499,Travel – Flight,Emirates Skywards ,3,Redeem through Emirates Skywards account ,3x on other travel purchases. 1X on all other purchases. ,https://cards.barclaycardus.com/banking/cards/emirates-skywards-premium-world-elite-mastercard/,"Emirates Skywards Gold tier membership during first year. 70,000 Skywards Miles after spending $3,000 in the first 90 days. ","10,000 Skywards Miles each year on card anniversary; No Foreign Transaction Fees; Priority check-in and boarding; Access to Emirates lounges; Travel protections and insurance; 25% savings when buying or gifting Miles. ",,,,,,,,,Low-activity / stable cards (long-standing no-fee cards),Quarterly,Rare changes,Quick check for any fee or points adjustments; usually stable.
FRONTIER Airlines World Mastercard,Barclays,Miles,99,Travel – Flight,Frontier Airlines,15,Redeem toward Frontier flights. ,1x miles on all other purchases excluding purchases made at flyfrontier.com and dining.,https://cards.barclaycardus.com/banking/cards/frontier-airlines-world-mastercard/,"50,000 Travel Miles after spending $500 on purchases within the first 90 days. $0 intro annual fee. Then $99. ",Two free checked bags; Free seat upgrades; Priority Boarding; Elite Status Boost; Annual Flight Voucher; Family Miles Pooling; Award redemption fee waiver; No foreign transaction fees.,,,,,,,,,Newly released cards,Immediate review,Launch announcements,Add to app as soon as card is officially released.
Cathay World Elite Mastercard ,Synchrony,Miles,99,Travel – Flight,Cathay Pacific Airlines,3,Redeem through Cathay Pacific Asia Miles account,3x also on HK Express travel and in-flight purchases. 2X on dining. 1X on all other purchases. ,https://pay.cathaypacific.com/en_US/offers/uscreditcard.html?siteCode=CXMDOMSYFP&intcmp=NoOff_CathayWorldEliteMastercard%C2%AE_credit%20cards_body-catalog-cards_ext,"38,000 bonus Asia Miles after spending $3,000 in the first 90 days. ","No foreign transaction fees; Priority check-in and boarding; Access to Cathay Pacific Business Class lounges; 10% redemption discount on hotel, car rental, and experiences awards; 10% savings on Asia Miles Gift Miles and mileage transfer fees; Up to ~15% off select Cathay Pacific flights for 2026.",,,,,,,,,,,,
The Platinum Card® from American Express,American Express,Points ,895,Travel – Flight,All Airlines/All travel agencies,5,"Transfer to Airline and Hotel Partners or redeem for flights and prepaid hotels when booking on AmexTravel.com, pay with points, gift cards, and more. ","Booked directly with airlines or through American Express Travel, on up to $500,000 on these purchases per calendar year. 1X on all other purchases excluding eligible Airline and Amex Travel purchases of flight and hotel. ",https://www.americanexpress.com/us/credit-cards/card/platinum/28810/?eep=28810&gclsrc=aw.ds&utm_cmpid=23262938582&utm_adid=778261988042&utm_mcid=&utm_source=google&utm_medium=cpc&utm_term=platinum+card&utm_campaign=US_AL_CMS_GGL_BRS_CPS_PC_PLAT+%3EBROAD+MATCH+TEST&utm_adgroup=GGL_BRS_CPS_PC_PLAT_GENERIC&utm_adgid=188328273269&utm_tgtid=kwd-10642691&utm_mt=b&utm_dvc=c&utm_ntwk=g&utm_adpos=&utm_plcmnt=&utm_locphysid=9031937&utm_locintid=&utm_feeditemid=&utm_devicemdl=&utm_plcmnttgt=&utm_programname=brnadcps&utm_cmp=BLC&utm_sl=&utm_acid=5407860559&gad_source=1&gad_campaignid=23262938582&gbraid=0AAAAADfV22v0d53urkJ2fWkgzmqsQkxlM&gclid=Cj0KCQiAsY3LBhCwARIsAF6O6XjS0hoHQGJkAuZfkf8arF-NsPlWAOLGqw-V5p0PGN7Z0GbFsMpXD2QaAn2AEALw_wcB,"175,000 points after spending $8,000 in eligible purchases within the first 6 months. Terms apply. ","Access to 1,500+ airport lounges worldwide; Statement credits for Global Entry or TSA PreCheck; No foreign transaction fees; Uber Cash / Uber One credit up to $200 annually; Digital entertainment credit up to $300/year; Dining credit (Resy) up to $400/year; Hotel credit up to $600/year; Airline fee credit up to $200/year; CLEAR® Plus credit up to $209/year; Walmart+ membership credit up to $155/year; lululemon credit up to $300/year; Hotel benefits & elite status; Travel protections. ",,,,,,,,,,,,
Chase Sapphire Reserve®,Chase,Points ,795,Travel – Flight,Booked through Airlines ,4,"Redeem for cash, gift cards, travel, and pay with points for products or services made available through the Chase Reward program or directly from third parties. ",$195 annual fee for each authorized user; 1x point on all other purchases excluding travel booked through Chase Travel and dining. ,https://creditcards.chase.com/rewards-credit-cards/sapphire/reserve?iCELL=61FX,"125,000 Chase Ultimate Rewards® points after spending $6,000 in the first 3 months. ",Up to $300 annual travel credit; Up to $500 annual hotel credit; Up to $120 every 4 years for Global Entry/TSA PreCheck/NEXUS fee; Priority Pass Select lounge access; Travel Insurance & Protections. ,,,,,,,,,,,,
JetBlue Premier Card,Barclays,Points ,499,Travel – Flight,JetBlue Airlines,6,Redeem through JetBlue.com,"1x points on all other purchases excluding JetBlue flights, TrueBlue Travel purchases, dining, and gas.",https://cards.barclaycardus.com/banking/cards/jetblue-premier-card/,"80,000 points + 5 status tiles after spending $5,000 in the first 90 days and paying the annual fee. ","First checked bag free; Group A priority boarding; Up to $330 in annual credit; 50% savings on eligible in-flight purchases; 5,000 bonus points annually; potential 10% points back; No foreign transaction fees; Travel assistance and concierge services.; Access to JetBlue lounges; Priority Pass.",,,,,,,,,,,,
